"Employment Table 1. Experienced Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area",,,,,,,,,,,,,,
"Source: U.S. Census Bureau Household Pulse Survey, Week 53.",,,,,,,,,,,,,,
Note: These data are experimental. Users should take caution using estimates based on subpopulations of the data – sample sizes may be small and the standard errors may be large.**,,,,,,,,,,,,,,
Total Population 18 Years and Older,,,,,,,,,,,,,,
Select characteristics,Total,Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),,,,,,,,,,
"    $50,000 - $74,999","441,403","68,839","372,564",-,,,,,,,,,,
"    $75,000 - $99,999","374,115","86,196","287,919",-,,,,,,,,,,
"    $100,000 - $149,999","474,230","59,919","414,311",-,,,,,,,,,,
"    $150,000 - $199,999","280,405","27,263","251,437","1,704",,,,,,,,,,
"    $200,000 and above","483,987","21,746","462,241",-,,,,,,,,,,
    Did not report,"468,789","62,629","367,670","38,490",,,,,,,,,,
Used in the last 7 days to meet spending needs* ,,,,,,,,,,,,,,
    Regular income sources,"2,537,392","324,949","2,208,997","3,445",,,,,,,,,,
    Credit cards or loans,"1,274,579","215,284","1,057,553","1,741",,,,,,,,,,
    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),"947,930","248,689","697,500","1,741",,,,,,,,,,
    Borrowing from friends or family,"239,732","56,261","183,471",-,,,,,,,,,,
    Unemployment insurance (UI) benefit payments,"76,322","39,528","36,793",-,,,,,,,,,,
    Money saved from deferred or forgiven payments (to meet spending needs),"137,019","34,142","102,876",-,,,,,,,,,,
    Supplemental Nutrition Assistance Program (SNAP),"129,618","14,301","115,316",-,,,,,,,,,,
"    Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","16,595",-,"16,595",-,,,,,,,,,,
     School meal debit/EBT cards,"83,999","15,732","68,267",-,,,,,,,,,,
     Government rental assistance,"27,204","1,762","25,443",-,,,,,,,,,,
     Other,"94,053","11,746","79,282","3,025",,,,,,,,,,
    Did not report,"174,521","33,649","107,148","33,724",,,,,,,,,,
Active duty military* ,,,,,,,,,,,,,,
    Serving on active duty,"2,830",-,"2,830",-,,,,,,,,,,
    Serving in Reserve or National Guard,"26,313",871,"25,442",-,,,,,,,,,,
    Spouse serving on active duty,"15,092","2,081","13,011",-,,,,,,,,,,
    Spouse serving in Reserve or National Guard,"6,718",-,"6,718",-,,,,,,,,,,
    No active duty service (self or spouse),"2,962,302","438,262","2,495,372","28,668",,,,,,,,,,
    Did not report,"12,812",-,"1,286","11,526",,,,,,,,,,
Difficulty seeing ,,,,,,,,,,,,,,
    No difficulty,"1,701,738","173,536","1,526,498","1,704",,,,,,,,,,
    Some difficulty,"798,427","180,443","617,984",-,,,,,,,,,,
    A lot of difficulty,"118,319","20,628","97,690",-,,,,,,,,,,
    Cannot do at all,"7,049",-,"7,049",-,,,,,,,,,,
    Did not report,"400,534","66,605","295,438","38,490",,,,,,,,,,
Difficulty hearing ,,,,,,,,,,,,,,
    No difficulty,"2,101,553","303,770","1,796,079","1,704",,,,,,,,,,
    Some difficulty,"464,733","56,875","407,858",-,,,,,,,,,,
    A lot of difficulty,"46,820","13,963","32,857",-,,,,,,,,,,
    Cannot do at all,"7,031",-,"7,031",-,,,,,,,,,,
    Did not report,"405,929","66,605","300,834","38,490",,,,,,,,,,
Difficulty remembering or concentrating ,,,,,,,,,,,,,,
    No difficulty,"1,525,326","179,128","1,344,494","1,704",,,,,,,,,,
    Some difficulty,"937,751","121,747","816,003",-,,,,,,,,,,
    A lot of difficulty,"160,324","73,733","86,591",-,,,,,,,,,,
    Cannot do at all,"5,550",-,"5,550",-,,,,,,,,,,
    Did not report,"397,117","66,605","292,022","38,490",,,,,,,,,,
Difficulty walking or climbing stairs ,,,,,,,,,,,,,,
    No difficulty,"2,038,733","239,381","1,797,648","1,704",,,,,,,,,,
    Some difficulty,"406,951","51,564","355,388",-,,,,,,,,,,
    A lot of difficulty,"175,911","83,127","92,784",-,,,,,,,,,,
    Cannot do at all,"7,694",537,"7,157",-,,,,,,,,,,
    Did not report,"396,778","66,605","291,682","38,490",,,,,,,,,,
Difficulty with self-care ,,,,,,,,,,,,,,
    No difficulty,"2,364,071","264,873","2,097,494","1,704",,,,,,,,,,
    Some difficulty,"171,713","37,776","133,937",-,,,,,,,,,,
    A lot of difficulty,"78,675","64,588","14,087",-,,,,,,,,,,
    Cannot do at all,"11,959","5,750","6,209",-,,,,,,,,,,
    Did not report,"399,649","68,227","292,932","38,490",,,,,,,,,,
Difficulty understanding or being understood ,,,,,,,,,,,,,,
    No difficulty,"2,374,254","227,077","2,145,473","1,704",,,,,,,,,,
    Some difficulty,"219,836","141,185","78,651",-,,,,,,,,,,
    A lot of difficulty,"27,441",596,"26,845",-,,,,,,,,,,
    Cannot do at all,"5,750","5,750",-,-,,,,,,,,,,
    Did not report,"398,786","66,605","293,691","38,490",,,,,,,,,,
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,,,,,,,,,
** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
