"Employment Table 1. Experienced Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area",,,,,,,,,,,,,,
"Source: U.S. Census Bureau Household Pulse Survey, Week 42.",,,,,,,,,,,,,,
Note: These data are experimental. Users should take caution using estimates based on subpopulations of the data – sample sizes may be small and the standard errors may be large.**,,,,,,,,,,,,,,
Total Population 18 Years and Older,,,,,,,,,,,,,,
Select characteristics,Total,Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),,,,,,,,,,
"    $50,000 - $74,999","396,434","84,310","312,124",-,,,,,,,,,,
"    $75,000 - $99,999","395,645","70,883","324,762",-,,,,,,,,,,
"    $100,000 - $149,999","463,684","50,554","413,130",-,,,,,,,,,,
"    $150,000 - $199,999","258,892","15,244","243,649",-,,,,,,,,,,
"    $200,000 and above","443,842","16,568","427,273",-,,,,,,,,,,
    Did not report,"521,774","49,676","429,129","42,968",,,,,,,,,,
Used in the last 7 days to meet spending needs* ,,,,,,,,,,,,,,
    Regular income sources like those received before the pandemic,"2,396,337","286,778","2,109,036",523,,,,,,,,,,
    Credit cards or loans,"942,924","211,674","730,128","1,122",,,,,,,,,,
    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),"694,074","214,762","479,312",-,,,,,,,,,,
    Borrowing from friends or family,"256,495","150,713","105,782",-,,,,,,,,,,
    Unemployment insurance (UI) benefit payments,"37,672","13,864","23,808",-,,,,,,,,,,
    Stimulus (economic impact) payment,"221,440","55,339","166,101",-,,,,,,,,,,
    Child Tax Credit payment,"163,471","29,334","134,137",-,,,,,,,,,,
    Money saved from deferred or forgiven payments (to meet spending needs),"66,492","17,395","49,098",-,,,,,,,,,,
    Supplemental Nutrition Assistance Program (SNAP),"98,585","38,253","60,332",-,,,,,,,,,,
    School meal debit/EBT cards,"96,529","34,347","62,182",-,,,,,,,,,,
    Government rental assistance,"25,920","3,802","22,119",-,,,,,,,,,,
    Other,"124,718","11,782","112,937",-,,,,,,,,,,
    Did not report,"233,932","8,476","184,133","41,323",,,,,,,,,,
Active duty military* ,,,,,,,,,,,,,,
    Serving on active duty,"19,019",-,"19,019",-,,,,,,,,,,
    Serving in Reserve or National Guard,"15,992","5,427","10,564",-,,,,,,,,,,
    Spouse serving on active duty,"14,491",206,"14,284",-,,,,,,,,,,
    Spouse serving in Reserve or National Guard,"9,198","4,326","4,872",-,,,,,,,,,,
    No active duty service (self or spouse),"3,001,476","463,581","2,509,236","28,658",,,,,,,,,,
    Did not report,"16,818",-,"2,509","14,310",,,,,,,,,,
Difficulty seeing ,,,,,,,,,,,,,,
    No difficulty,"1,920,402","250,128","1,669,751",523,,,,,,,,,,
    Some difficulty,"693,537","146,360","546,055","1,122",,,,,,,,,,
    A lot of difficulty,"71,968","29,014","42,954",-,,,,,,,,,,
    Cannot do at all,"8,925","4,886","4,039",-,,,,,,,,,,
    Did not report,"382,160","43,152","297,686","41,323",,,,,,,,,,
Difficulty hearing ,,,,,,,,,,,,,,
    No difficulty,"2,317,266","367,668","1,947,952","1,645",,,,,,,,,,
    Some difficulty,"326,989","30,854","296,134",-,,,,,,,,,,
    A lot of difficulty,"40,444","26,577","13,867",-,,,,,,,,,,
    Cannot do at all,"9,132","5,289","3,843",-,,,,,,,,,,
    Did not report,"383,162","43,152","298,687","41,323",,,,,,,,,,
Difficulty remembering or concentrating ,,,,,,,,,,,,,,
    No difficulty,"1,601,393","173,242","1,427,628",523,,,,,,,,,,
    Some difficulty,"941,458","188,517","751,819","1,122",,,,,,,,,,
    A lot of difficulty,"141,224","67,000","74,224",-,,,,,,,,,,
    Cannot do at all,"8,878","1,629","7,249",-,,,,,,,,,,
    Did not report,"384,039","43,152","299,564","41,323",,,,,,,,,,
Difficulty walking or climbing stairs ,,,,,,,,,,,,,,
    No difficulty,"2,210,963","338,505","1,871,935",523,,,,,,,,,,
    Some difficulty,"422,443","82,240","339,081","1,122",,,,,,,,,,
    A lot of difficulty,"54,748","9,644","45,104",-,,,,,,,,,,
    Cannot do at all,"6,321",-,"6,321",-,,,,,,,,,,
    Did not report,"382,518","43,152","298,043","41,323",,,,,,,,,,
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,,,,,,,,,
** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
