"Employment Table 1. Experienced Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area",,,,,,,,,,,,,,
"Source: U.S. Census Bureau Household Pulse Survey, Week 46.",,,,,,,,,,,,,,
Note: These data are experimental. Users should take caution using estimates based on subpopulations of the data – sample sizes may be small and the standard errors may be large.**,,,,,,,,,,,,,,
Total Population 18 Years and Older,,,,,,,,,,,,,,
Select characteristics,Total,Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),,,,,,,,,,
"    $35,000 - $49,999","224,211","37,006","187,205",-,,,,,,,,,,
"    $50,000 - $74,999","331,567","29,927","301,640",-,,,,,,,,,,
"    $75,000 - $99,999","262,546","49,283","213,263",-,,,,,,,,,,
"    $100,000 - $149,999","464,106","40,898","422,440",768,,,,,,,,,,
"    $150,000 - $199,999","313,589","11,724","301,137",728,,,,,,,,,,
"    $200,000 and above","498,562","20,013","478,549",-,,,,,,,,,,
    Did not report,"618,902","40,736","523,050","55,115",,,,,,,,,,
Used in the last 7 days to meet spending needs* ,,,,,,,,,,,,,,
    Regular income sources like those received before the pandemic,"2,342,130","185,097","2,156,265",768,,,,,,,,,,
    Credit cards or loans,"1,100,072","129,563","970,510",-,,,,,,,,,,
    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),"800,738","174,107","625,903",728,,,,,,,,,,
    Borrowing from friends or family,"271,193","92,900","178,294",-,,,,,,,,,,
    Unemployment insurance (UI) benefit payments,"46,411","22,174","24,237",-,,,,,,,,,,
    Stimulus (economic impact) payment,"144,109","35,172","108,937",-,,,,,,,,,,
    Child Tax Credit payment,"66,628","11,016","55,612",-,,,,,,,,,,
    Money saved from deferred or forgiven payments (to meet spending needs),"65,722","7,425","58,297",-,,,,,,,,,,
    Supplemental Nutrition Assistance Program (SNAP),"121,739","28,694","93,045",-,,,,,,,,,,
    School meal debit/EBT cards,"116,652","25,459","91,193",-,,,,,,,,,,
    Government rental assistance,"23,041","13,728","9,313",-,,,,,,,,,,
    Other,"158,156","6,671","151,485",-,,,,,,,,,,
    Did not report,"218,374","5,338","157,922","55,115",,,,,,,,,,
Active duty military* ,,,,,,,,,,,,,,
    Serving on active duty,"1,100",-,"1,100",-,,,,,,,,,,
    Serving in Reserve or National Guard,"5,895","4,023","1,873",-,,,,,,,,,,
    Spouse serving on active duty,"43,920",-,"43,920",-,,,,,,,,,,
    Spouse serving in Reserve or National Guard,"1,478",-,"1,478",-,,,,,,,,,,
    No active duty service (self or spouse),"3,037,900","314,306","2,678,814","44,780",,,,,,,,,,
    Did not report,"18,555",-,"6,724","11,831",,,,,,,,,,
Difficulty seeing ,,,,,,,,,,,,,,
    No difficulty,"1,869,458","184,993","1,682,969","1,496",,,,,,,,,,
    Some difficulty,"680,735","94,761","585,974",-,,,,,,,,,,
    A lot of difficulty,"68,371","10,585","57,786",-,,,,,,,,,,
    Cannot do at all,375,-,375,-,,,,,,,,,,
    Did not report,"489,909","27,990","406,804","55,115",,,,,,,,,,
Difficulty hearing ,,,,,,,,,,,,,,
    No difficulty,"2,190,786","227,996","1,962,062",728,,,,,,,,,,
    Some difficulty,"388,079","54,504","333,574",-,,,,,,,,,,
    A lot of difficulty,"22,261","6,497","14,996",768,,,,,,,,,,
    Cannot do at all,"3,610",-,"3,610",-,,,,,,,,,,
    Did not report,"504,112","29,332","419,665","55,115",,,,,,,,,,
Difficulty remembering or concentrating ,,,,,,,,,,,,,,
    No difficulty,"1,560,241","117,015","1,441,731","1,496",,,,,,,,,,
    Some difficulty,"876,900","148,918","727,982",-,,,,,,,,,,
    A lot of difficulty,"168,478","24,406","144,072",-,,,,,,,,,,
    Cannot do at all,-,-,-,-,,,,,,,,,,
    Did not report,"503,229","27,990","420,124","55,115",,,,,,,,,,
Difficulty walking or climbing stairs ,,,,,,,,,,,,,,
    No difficulty,"2,052,127","192,259","1,858,372","1,496",,,,,,,,,,
    Some difficulty,"418,302","73,205","345,097",-,,,,,,,,,,
    A lot of difficulty,"131,201","24,075","107,127",-,,,,,,,,,,
    Cannot do at all,"14,241",801,"13,441",-,,,,,,,,,,
    Did not report,"492,977","27,990","409,872","55,115",,,,,,,,,,
Difficulty with self-care ,,,,,,,,,,,,,,
    No difficulty,"2,426,213","238,565","2,186,152","1,496",,,,,,,,,,
    Some difficulty,"165,295","48,903","116,393",-,,,,,,,,,,
    A lot of difficulty,"27,056","2,871","24,184",-,,,,,,,,,,
    Cannot do at all,392,-,392,-,,,,,,,,,,
    Did not report,"489,892","27,990","406,787","55,115",,,,,,,,,,
Difficulty understanding or being understood ,,,,,,,,,,,,,,
    No difficulty,"2,397,009","269,263","2,126,251","1,496",,,,,,,,,,
    Some difficulty,"197,248","14,564","182,684",-,,,,,,,,,,
    A lot of difficulty,"23,107","6,512","16,596",-,,,,,,,,,,
    Cannot do at all,"2,302",-,"2,302",-,,,,,,,,,,
    Did not report,"489,181","27,990","406,077","55,115",,,,,,,,,,
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,,,,,,,,,
** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
